# Start at 2020-03-12 18:08:26.630562
# EA  EB  tA  tB
# 
38.567 1.704 98.531 9.048
57.128 3.110 107.380 418.192
278.077 0.000 116.688 0.000
379.039 0.000 116.534 0.000
31.218 0.000 76.168 0.000
29.865 0.000 67.950 0.000
135.662 0.000 114.209 0.000
48.168 0.000 103.767 0.000
79.768 0.252 111.771 90.000
40.355 0.497 98.445 316.000
142.812 2.008 113.825 15.062
352.296 27.739 116.884 114.473
50.022 1.919 105.696 12.040
67.286 4.115 106.923 166.000
55.956 2.246 106.634 11.078
88.450 0.000 111.568 0.000
75.430 0.747 111.541 33.000
46.864 1.491 104.259 12.058
255.691 0.758 116.535 22.000
71.749 1.506 118.170 14.684
341.316 0.991 117.187 15.015
72.817 0.252 109.293 348.000
59.372 0.000 108.370 0.000
47.347 1.009 102.998 52.000
38.372 0.252 100.367 342.000
276.945 0.000 117.737 0.000
333.521 2.220 115.862 9.054
59.264 0.000 106.052 9.586
240.736 0.252 116.233 119.000
62.316 0.740 107.135 45.010
175.230 0.501 114.594 180.000
47.001 0.000 101.998 0.000
40.852 0.252 101.195 489.000
89.236 2.454 112.928 11.069
142.624 0.000 114.170 0.000
338.777 0.000 116.161 0.000
141.839 1.662 114.511 30.226
224.621 0.000 116.498 0.000
41.143 0.000 93.686 0.000
36.883 0.251 91.616 504.000
134.979 0.000 114.306 0.000
81.426 0.746 110.765 96.000
215.635 1.962 115.956 16.347
62.530 1.756 111.999 10.285
141.110 2.328 113.717 10.340
36.034 1.464 87.835 29.088
47.844 0.000 104.113 0.000
51.252 0.000 104.714 0.000
47.008 0.000 103.853 0.000
148.977 0.000 114.512 0.000
66.588 0.000 109.499 0.000
138.914 0.000 114.319 0.000
34.960 1.030 89.997 450.000
67.008 0.998 109.002 29.000
128.291 0.000 113.603 0.000
45.770 0.000 103.833 0.000
139.225 0.000 114.850 0.000
120.657 0.000 114.001 0.000
47.471 0.000 102.263 0.000
140.676 308.032 114.392 115.001
33.999 2.423 87.997 222.000
75.980 0.510 111.254 184.000
200.612 0.000 116.214 0.000
38.386 0.252 94.873 211.000
260.045 3.582 116.088 444.480
34.254 0.000 91.997 0.000
135.863 0.000 113.482 9.586
47.293 2.466 101.916 17.825
114.487 0.252 112.798 186.000
138.028 0.000 114.586 0.000
38.079 0.000 97.539 0.000
33.525 1.457 92.968 20.030
28.489 3.102 71.997 143.000
112.240 2.001 112.525 9.146
139.130 0.000 114.166 0.000
48.900 0.000 101.523 9.586
69.469 2.015 110.178 22.118
48.654 0.252 105.180 314.000
43.091 0.000 98.537 0.000
37.083 0.000 93.341 0.000
141.707 0.000 114.417 0.000
34.034 1.767 91.968 16.015
81.777 1.233 111.792 22.025
142.005 0.664 116.841 38.069
135.596 1.458 115.584 9.100
43.756 1.494 104.499 31.053
137.262 1.972 114.142 19.156
58.659 1.721 108.953 10.401
161.427 2.474 115.782 10.200
101.816 1.497 113.230 19.342
140.705 1.432 114.772 29.119
45.984 0.750 103.499 30.000
53.198 5.771 106.427 0.000
135.230 0.252 114.641 188.000
49.331 0.252 105.722 38.000
144.783 1.006 114.853 141.000
48.466 0.738 104.499 17.025
20.548 1.462 24.763 21.157
33.260 0.504 90.997 505.043
49.751 0.000 104.753 0.000
49.756 0.000 105.701 0.000
47.463 0.000 105.785 0.000
1.265 0.000 314.000 9.586
70.253 0.500 109.499 48.067
